zip,city,state,county,latitude,longitude
89439,Unknown,CA,Sierra,39.520351,-119.999800
90001,Los Angeles,CA,Los Angeles,33.974027,-118.249509
90002,Los Angeles,CA,Los Angeles,33.949099,-118.246737
90003,Los Angeles,CA,Los Angeles,33.964131,-118.272783
90004,Los Angeles,CA,Los Angeles,34.076198,-118.310722
90005,Los Angeles,CA,Los Angeles,34.059163,-118.306892
90006,Los Angeles,CA,Los Angeles,34.048041,-118.294177
90007,Los Angeles,CA,Los Angeles,34.028133,-118.284828
90008,Los Angeles,CA,Los Angeles,34.009552,-118.346724
90010,Los Angeles,CA,Los Angeles,34.062148,-118.315889
90011,Los Angeles,CA,Los Angeles,34.007090,-118.258680
90012,Los Angeles,CA,Los Angeles,34.065875,-118.238728
90013,Los Angeles,CA,Los Angeles,34.045406,-118.240454
90014,Los Angeles,CA,Los Angeles,34.043146,-118.251746
90015,Los Angeles,CA,Los Angeles,34.039378,-118.266299
90016,Los Angeles,CA,Los Angeles,34.028332,-118.354337
90017,Los Angeles,CA,Los Angeles,34.052913,-118.264340
90018,Los Angeles,CA,Los Angeles,34.028887,-118.317183
90019,Los Angeles,CA,Los Angeles,34.049841,-118.338460
90020,Los Angeles,CA,Los Angeles,34.066379,-118.309870
90021,Los Angeles,CA,Los Angeles,34.029036,-118.237870
90022,East Los Angeles,CA,Los Angeles,34.023728,-118.156274
90023,Los Angeles,CA,Los Angeles,34.022501,-118.199613
90024,Los Angeles,CA,Los Angeles,34.065729,-118.434999
90025,Los Angeles,CA,Los Angeles,34.045360,-118.445818
90026,Los Angeles,CA,Los Angeles,34.080017,-118.262643
90027,Los Angeles,CA,Los Angeles,34.127194,-118.295647
90028,Los Angeles,CA,Los Angeles,34.099912,-118.326912
90029,Los Angeles,CA,Los Angeles,34.089848,-118.294661
90031,Los Angeles,CA,Los Angeles,34.085807,-118.206617
90032,Los Angeles,CA,Los Angeles,34.078195,-118.185497
90033,Los Angeles,CA,Los Angeles,34.050380,-118.211991
90034,Los Angeles,CA,Los Angeles,34.030578,-118.399613
90035,Los Angeles,CA,Los Angeles,34.051808,-118.383674
90036,Los Angeles,CA,Los Angeles,34.070410,-118.350410
90037,Los Angeles,CA,Los Angeles,34.002723,-118.287487
90038,Los Angeles,CA,Los Angeles,34.088474,-118.325526
90039,Los Angeles,CA,Los Angeles,34.111525,-118.260552
90040,City Of Commerce,CA,Los Angeles,33.994524,-118.149953
90041,Los Angeles,CA,Los Angeles,34.137412,-118.207607
90042,Los Angeles,CA,Los Angeles,34.114708,-118.192098
90043,Los Angeles,CA,Los Angeles,33.988505,-118.336358
90044,Los Angeles,CA,Los Angeles,33.952724,-118.291904
90045,Los Angeles,CA,Los Angeles,33.942108,-118.417488
90046,Cole,CA,Los Angeles,34.108455,-118.362081
90047,Los Angeles,CA,Los Angeles,33.953617,-118.308429
90048,Los Angeles,CA,Los Angeles,34.072924,-118.372710
90049,Los Angeles,CA,Los Angeles,34.091829,-118.491244
90056,Los Angeles,CA,Los Angeles,33.988047,-118.370361
90057,Los Angeles,CA,Los Angeles,34.061735,-118.276757
90058,Vernon,CA,Los Angeles,34.002844,-118.216400
90059,Los Angeles,CA,Los Angeles,33.926262,-118.249883
90061,Los Angeles,CA,Los Angeles,33.921280,-118.274186
90062,Los Angeles,CA,Los Angeles,34.003638,-118.308806
90063,Hazard,CA,Los Angeles,34.045105,-118.185914
90064,Los Angeles,CA,Los Angeles,34.037252,-118.423573
90065,Los Angeles,CA,Los Angeles,34.112272,-118.225496
90066,Los Angeles,CA,Los Angeles,34.002028,-118.430656
90067,Los Angeles,CA,Los Angeles,34.057597,-118.413998
90068,Los Angeles,CA,Los Angeles,34.129772,-118.330989
90069,West Hollywood,CA,Los Angeles,34.093828,-118.381697
90071,Los Angeles,CA,Los Angeles,34.052876,-118.254943
90077,Los Angeles,CA,Los Angeles,34.108537,-118.457081
90201,Bell Gardens,CA,Los Angeles,33.970343,-118.171368
90210,Beverly Hills,CA,Los Angeles,34.102630,-118.415972
90211,Beverly Hills,CA,Los Angeles,34.064958,-118.382979
90212,Beverly Hills,CA,Los Angeles,34.062210,-118.401966
90220,Rancho Dominguez,CA,Los Angeles,33.881510,-118.234451
90221,East Rancho Domi,CA,Los Angeles,33.885624,-118.205918
90222,Rosewood,CA,Los Angeles,33.912246,-118.236773
90230,Culver City,CA,Los Angeles,33.998213,-118.394059
90232,Culver City,CA,Los Angeles,34.019323,-118.391902
90240,Downey,CA,Los Angeles,33.955729,-118.118346
90241,Downey,CA,Los Angeles,33.940884,-118.128628
90242,Downey,CA,Los Angeles,33.921793,-118.140588
90245,El Segundo,CA,Los Angeles,33.917140,-118.404267
90247,Gardena,CA,Los Angeles,33.890853,-118.297967
90248,Gardena,CA,Los Angeles,33.876481,-118.284076
90249,Gardena,CA,Los Angeles,33.901390,-118.315697
90250,Holly Park,CA,Los Angeles,33.914775,-118.348083
90254,Hermosa Beach,CA,Los Angeles,33.864259,-118.399303
90255,Huntington Park,CA,Los Angeles,33.978030,-118.217140
90260,Lawndale,CA,Los Angeles,33.888560,-118.351813
90261,Lawndale,CA,Los Angeles,33.786594,-118.298662
90262,Lynwood,CA,Los Angeles,33.923533,-118.200705
90263,Malibu,CA,Los Angeles,34.039034,-118.707992
90265,Malibu,CA,Los Angeles,34.066117,-118.846342
90266,Manhattan Beach,CA,Los Angeles,33.889151,-118.402127
90270,Maywood,CA,Los Angeles,33.987729,-118.186597
90272,Pacific Palisade,CA,Los Angeles,34.087460,-118.544232
90274,Palos Verdes Est,CA,Los Angeles,33.780065,-118.372454
90275,Zcta 90275,CA,Los Angeles,33.753146,-118.367459
90277,Redondo Beach,CA,Los Angeles,33.830006,-118.387124
90278,Redondo Beach,CA,Los Angeles,33.873214,-118.370359
90280,South Gate,CA,Los Angeles,33.944159,-118.192761
90290,Topanga,CA,Los Angeles,34.107728,-118.615981
90291,Venice,CA,Los Angeles,33.993396,-118.465193
90292,Marina Del Rey,CA,Los Angeles,33.979007,-118.457852
90293,Playa Del Rey,CA,Los Angeles,33.947305,-118.439841
90301,Inglewood,CA,Los Angeles,33.956526,-118.358654
90302,Inglewood,CA,Los Angeles,33.975332,-118.355252
90303,Inglewood,CA,Los Angeles,33.939766,-118.331085
90304,Lennox,CA,Los Angeles,33.937886,-118.358559
90305,Inglewood,CA,Los Angeles,33.958889,-118.330548
90401,Santa Monica,CA,Los Angeles,34.013666,-118.493750
90402,Santa Monica,CA,Los Angeles,34.034666,-118.504039
90403,Santa Monica,CA,Los Angeles,34.030755,-118.492101
90404,Santa Monica,CA,Los Angeles,34.026608,-118.473643
90405,Santa Monica,CA,Los Angeles,34.011167,-118.469630
90501,Torrance,CA,Los Angeles,33.833744,-118.314022
90502,Torrance,CA,Los Angeles,33.833181,-118.292062
90503,Torrance,CA,Los Angeles,33.840399,-118.353714
90504,Torrance,CA,Los Angeles,33.867257,-118.330794
90505,Torrance,CA,Los Angeles,33.807882,-118.347957
90601,Whittier,CA,Los Angeles,34.007840,-118.030271
90602,Whittier,CA,Los Angeles,33.972232,-118.022557
90603,Whittier,CA,Los Angeles,33.945318,-117.992066
90604,Whittier,CA,Los Angeles,33.929704,-118.012080
90605,Whittier,CA,Los Angeles,33.950295,-118.024351
90606,Los Nietos,CA,Los Angeles,33.977272,-118.066363
90620,Buena Park,CA,Orange,33.846302,-118.012225
90621,Buena Park,CA,Orange,33.874224,-117.993368
90623,Cerritos,CA,Orange,33.850504,-118.039892
90630,Cypress,CA,Orange,33.818477,-118.038307
90631,La Habra Heights,CA,Orange,33.942708,-117.952483
90638,La Mirada,CA,Los Angeles,33.902045,-118.008961
90640,Montebello,CA,Los Angeles,34.015444,-118.111012
90650,Norwalk,CA,Los Angeles,33.906956,-118.082640
90660,Pico Rivera,CA,Los Angeles,33.989524,-118.089299
90670,Santa Fe Springs,CA,Los Angeles,33.933565,-118.062611
90680,Stanton,CA,Orange,33.801178,-117.994901
90701,Cerritos,CA,Los Angeles,33.867600,-118.080612
90703,Cerritos,CA,Los Angeles,33.868049,-118.069208
90704,Avalon,CA,Los Angeles,33.397729,-118.441282
90706,Bellflower,CA,Los Angeles,33.887821,-118.127250
90710,Harbor City,CA,Los Angeles,33.799904,-118.298661
90712,Lakewood,CA,Los Angeles,33.849034,-118.147902
90713,Lakewood,CA,Los Angeles,33.847989,-118.112601
90715,Lakewood,CA,Los Angeles,33.841027,-118.079141
90716,Hawaiian Gardens,CA,Los Angeles,33.830457,-118.072639
90717,Rancho Palos Ver,CA,Los Angeles,33.793809,-118.317170
90720,Rossmoor,CA,Orange,33.795012,-118.062691
90723,Paramount,CA,Los Angeles,33.898883,-118.166629
90731,San Pedro,CA,Los Angeles,33.731442,-118.278869
90732,Rancho Palos Ver,CA,Los Angeles,33.742120,-118.312878
90740,Seal Beach,CA,Orange,33.758405,-118.075043
90742,Sunset Beach,CA,Orange,33.716666,-118.076906
90743,Surfside,CA,Orange,33.726516,-118.090327
90744,Wilmington,CA,Los Angeles,33.779285,-118.261724
90745,Carson,CA,Los Angeles,33.821605,-118.264112
90746,Carson,CA,Los Angeles,33.859171,-118.252273
90802,Long Beach,CA,Los Angeles,33.745762,-118.208042
90803,Long Beach,CA,Los Angeles,33.756289,-118.130636
90804,Signal Hill,CA,Los Angeles,33.781686,-118.148365
90805,Long Beach,CA,Los Angeles,33.864617,-118.180567
90806,Signal Hill,CA,Los Angeles,33.805640,-118.188597
90807,Signal Hill,CA,Los Angeles,33.827740,-118.174820
90808,Long Beach,CA,Los Angeles,33.823943,-118.111335
90810,Carson,CA,Los Angeles,33.819814,-118.222416
90813,Long Beach,CA,Los Angeles,33.782259,-118.196793
90814,Long Beach,CA,Los Angeles,33.771616,-118.143631
90815,Long Beach,CA,Los Angeles,33.794348,-118.116391
90822,Long Beach,CA,Los Angeles,33.778436,-118.118648
91001,Altadena,CA,Los Angeles,34.195275,-118.137227
91006,Arcadia,CA,Los Angeles,34.136258,-118.026704
91007,Arcadia,CA,Los Angeles,34.128284,-118.047732
91010,Bradbury,CA,Los Angeles,34.141586,-117.957627
91011,Flintridge,CA,Los Angeles,34.222261,-118.205369
91016,Monrovia,CA,Los Angeles,34.152800,-118.000482
91020,Montrose,CA,Los Angeles,34.211341,-118.230652
91024,Sierra Madre,CA,Los Angeles,34.168771,-118.050216
91030,South Pasadena,CA,Los Angeles,34.108957,-118.156615
91040,Shadow Hills,CA,Los Angeles,34.261962,-118.336078
91042,Tujunga,CA,Los Angeles,34.322220,-118.237917
91101,Pasadena,CA,Los Angeles,34.146671,-118.139456
91103,Pasadena,CA,Los Angeles,34.169538,-118.164941
91104,Pasadena,CA,Los Angeles,34.165383,-118.123752
91105,Pasadena,CA,Los Angeles,34.139460,-118.166648
91106,Pasadena,CA,Los Angeles,34.139402,-118.128659
91107,Pasadena,CA,Los Angeles,34.156397,-118.085873
91108,San Marino,CA,Los Angeles,34.122671,-118.112911
91201,Glendale,CA,Los Angeles,34.170510,-118.289463
91202,Glendale,CA,Los Angeles,34.167926,-118.267539
91203,Glendale,CA,Los Angeles,34.153337,-118.262974
91204,Glendale,CA,Los Angeles,34.136193,-118.260934
91205,Glendale,CA,Los Angeles,34.136580,-118.245839
91206,Glendale,CA,Los Angeles,34.160359,-118.213769
91207,Glendale,CA,Los Angeles,34.182378,-118.262922
91208,Glendale,CA,Los Angeles,34.185832,-118.239524
91214,La Crescenta,CA,Los Angeles,34.236302,-118.249185
91301,Oak Park,CA,Los Angeles,34.123286,-118.758541
91302,Calabasas,CA,Los Angeles,34.123310,-118.671028
91303,Canoga Park,CA,Los Angeles,34.198292,-118.600914
91304,Canoga Park,CA,Los Angeles,34.224377,-118.632656
91306,Winnetka,CA,Los Angeles,34.209532,-118.577563
91307,West Hills,CA,Los Angeles,34.200833,-118.664900
91311,Chatsworth,CA,Los Angeles,34.294142,-118.603883
91316,Encino,CA,Los Angeles,34.160236,-118.515472
91320,Newbury Park,CA,Ventura,34.175969,-118.945118
91321,Newhall,CA,Los Angeles,34.368110,-118.489037
91324,Northridge,CA,Los Angeles,34.238208,-118.550290
91325,Northridge,CA,Los Angeles,34.236683,-118.517588
91326,Porter Ranch,CA,Los Angeles,34.281486,-118.556005
91331,Arleta,CA,Los Angeles,34.255442,-118.421313
91335,Reseda,CA,Los Angeles,34.200175,-118.540958
91340,San Fernando,CA,Los Angeles,34.286689,-118.435078
91342,Sylmar,CA,Los Angeles,34.326674,-118.382262
91343,North Hills,CA,Los Angeles,34.237912,-118.482306
91344,Granada Hills,CA,Los Angeles,34.294615,-118.507001
91345,Mission Hills,CA,Los Angeles,34.265878,-118.457241
91350,Agua Dulce,CA,Los Angeles,34.440891,-118.501747
91351,Canyon Country,CA,Los Angeles,34.441427,-118.448088
91352,Sun Valley,CA,Los Angeles,34.230854,-118.365856
91354,Valencia,CA,Los Angeles,34.465755,-118.553789
91355,Valencia,CA,Los Angeles,34.439741,-118.634816
91356,Tarzana,CA,Los Angeles,34.155097,-118.547553
91360,Thousand Oaks,CA,Ventura,34.212798,-118.882175
91361,Westlake Village,CA,Ventura,34.136057,-118.888909
91362,Westlake Village,CA,Ventura,34.193329,-118.818678
91364,Woodland Hills,CA,Los Angeles,34.153733,-118.593408
91367,Woodland Hills,CA,Los Angeles,34.178068,-118.615714
